education_attainment_group,AIAN,Asian,Black,Other/Multiracial,Other/Unknown,Unknown-DK,Unknown-NA,Unknown-Refused,White
Bachelor's,0.15037593984962405,0.07177814029363784,0.10793768545994065,0.08333333333333333,0.15813953488372093,0.17647058823529413,0.0765661252900232,0.05555555555555555,0.07990226468764815
Graduate/Professional,0.10843373493975904,0.044383346425765906,0.09451046972269384,0.07581227436823104,0.0967741935483871,0.0,0.06896551724137931,0.16666666666666666,0.06814831613561628
HS diploma/GED,0.2315270935960591,0.16463909164639093,0.24639740207022529,0.1300639658848614,0.25958702064896755,0.26666666666666666,0.15913887716336006,0.25,0.20317380533515242
Less than HS,0.41015625,0.2559055118110236,0.40861291937906863,0.22857142857142856,0.5,0.14814814814814814,0.26980428704566634,0.25,0.33833671399594323
Some college/AA,0.21413721413721415,0.11159107271418287,0.20430528375733856,0.14173228346456693,0.2843691148775895,0.12,0.1363900174114916,0.2,0.15548808823073826
Unknown,0.03140096618357488,0.017961876832844576,0.04051121292500603,0.018807339449541285,0.04259259259259259,0.017543859649122806,0.043244949494949496,0.021739130434782608,0.02313408981940227
