education_attainment_group,bad_health
Less than HS,0.33606818543890393
HS diploma/GED,0.2047712661388874
Some college/AA,0.16125438513321325
Bachelor's,0.08210556429695323
Graduate/Professional,0.06797821886527314
Unknown,0.026417458494309282
