education_attainment_group,Excellent,Fair,Good,Poor,Unknown-don't know,Unknown-refused,Very Good
Bachelor's,0.2677442425976255,0.06585610070090116,0.24511514804748963,0.016249463596052068,8.582463166928908e-05,0.00028608210556429694,0.40466313832069806
Graduate/Professional,0.30098366414895483,0.05379413314596873,0.2220709643421746,0.014184085719304408,0.0001756543123133673,0.00021956789039170911,0.40857193044089235
HS diploma/GED,0.16314223473779288,0.15806811540300728,0.342489772063121,0.04670315073588013,0.0003187928377875777,0.00023909462834068327,0.28903883959407045
Less than HS,0.12991875099569858,0.24103871276087302,0.3440337740959057,0.09502947267803091,0.00047793531942010514,0.00023896765971005257,0.18926238649036164
Some college/AA,0.18457855314307386,0.12503555513416137,0.3108229828387219,0.03621882999905186,0.000237034227742486,0.000237034227742486,0.34287001042950604
Unknown,0.6396575127910619,0.02252793150255821,0.10997702829696147,0.00388952699175107,7.8312623994988e-05,0.00023493787198496398,0.2236347499216874
