,education_attainment_group,good_health
5,Unknown,0.8632922627127493
1,Graduate/Professional,0.7095555945898472
0,Bachelor's,0.6724073809183235
4,Some college/AA,0.5274485635725799
2,HS diploma/GED,0.45218107433186333
3,Less than HS,0.3191811374860602
