education_attainment_group,race_grp,Excellent,Fair,Good,Poor,Unknown-don't know,Unknown-refused,Very Good
Bachelor's,AIAN,0.21052631578947367,0.12030075187969924,0.2556390977443609,0.03007518796992481,0.0,0.0,0.38345864661654133
Bachelor's,Asian,0.2864600326264274,0.05970636215334421,0.27830342577487766,0.012071778140293638,0.0,0.0,0.3634584013050571
Bachelor's,Black,0.2273738872403561,0.08716617210682492,0.314540059347181,0.020771513353115726,0.000370919881305638,0.0,0.34977744807121663
Bachelor's,Other/Multiracial,0.26515151515151514,0.06439393939393939,0.2537878787878788,0.01893939393939394,0.0,0.0,0.3977272727272727
Bachelor's,Other/Unknown,0.2186046511627907,0.10697674418604651,0.2651162790697674,0.05116279069767442,0.0,0.0,0.3581395348837209
Bachelor's,Unknown-DK,0.058823529411764705,0.058823529411764705,0.47058823529411764,0.11764705882352941,0.0,0.0,0.29411764705882354
Bachelor's,Unknown-NA,0.31786542923433875,0.06148491879350348,0.2691415313225058,0.015081206496519721,0.0,0.0,0.33642691415313225
Bachelor's,Unknown-Refused,0.2777777777777778,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.5
Bachelor's,White,0.26888151416797346,0.06403851063053864,0.23336129244010065,0.015863754057109516,7.293680026257248e-05,0.0003646840013128624,0.4174173079027023
Graduate/Professional,AIAN,0.26506024096385544,0.08433734939759036,0.24096385542168675,0.024096385542168676,0.0,0.0,0.3855421686746988
Graduate/Professional,Asian,0.3318931657501964,0.03456402199528672,0.2234878240377062,0.009819324430479183,0.0,0.00039277297721916735,0.39984289080911234
Graduate/Professional,Black,0.2490096208262592,0.07696661007357103,0.2903225806451613,0.017543859649122806,0.0005659309564233164,0.0,0.3655913978494624
Graduate/Professional,Other/Multiracial,0.2924187725631769,0.061371841155234655,0.27075812274368233,0.01444043321299639,0.0,0.0,0.36101083032490977
Graduate/Professional,Other/Unknown,0.20161290322580644,0.07258064516129033,0.3387096774193548,0.024193548387096774,0.0,0.0,0.3629032258064516
Graduate/Professional,Unknown-DK,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
Graduate/Professional,Unknown-NA,0.329153605015674,0.05642633228840126,0.23824451410658307,0.012539184952978056,0.0,0.0,0.36363636363636365
Graduate/Professional,Unknown-Refused,0.08333333333333333,0.16666666666666666,0.5,0.0,0.0,0.0,0.25
Graduate/Professional,White,0.3023585440526137,0.05374759042975394,0.21283592244018595,0.014400725705862342,0.0001700873114865631,0.00022678308198208414,0.4162603469781154
HS diploma/GED,AIAN,0.14285714285714285,0.1625615763546798,0.35467980295566504,0.06896551724137931,0.0,0.0,0.270935960591133
HS diploma/GED,Asian,0.2003244120032441,0.12570965125709652,0.36982968369829683,0.038929440389294405,0.0008110300081103001,0.0,0.2643957826439578
HS diploma/GED,Black,0.1749543332656789,0.2007306677491374,0.3480819971585143,0.045666734321087886,0.0,0.0006088897909478384,0.22995737771463365
